participant-ID,age,formative-years,gender,nationality,occupation,attentiveMusic,casualMusic,musicYears,musicSinger,musicMistakes,musicDifferences,musicOutOfTime,musicOutOfTune,musicMusician,musicProduction,musicImportance,musicActivities,musicAddiction,musicNewMusic,musicSearch,musicGenre,musicEvoke,musicMemories,musicShiver,musicExcite,musicTalk
_0sca4vavd,25-34,UK,female,british,university,2-4 hrs,4+ hrs,1-2,strongly-agree,mostly-agree,mostly-agree,sort-of-agree,mostly-agree,sort-of-agree,strongly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,folk rock,strongly-disagree,strongly-agree,strongly-agree,sort-of-agree,mostly-agree
_14q3qbw23,18-24,England,Male,British,full-time-employment,30-60,1-2hrs,6-10,mostly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,sort-of-agree,mostly-agree,9,mostly-agree,not-sure,sort-of-agree,strongly-agree,Alternative Rock/Metal,strongly-disagree,strongly-agree,mostly-agree,mostly-agree,mostly-agree
_19x1mwtfx,45-54,England,Female,British,part-time-employment,15-30,30-60,2-4,mostly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-disagree,mostly-agree,7,sort-of-disagree,sort-of-disagree,sort-of-disagree,sort-of-agree,Indie rock,sort-of-disagree,sort-of-agree,mostly-agree,sort-of-agree,not-sure
_1cpqpmytm,25-34,Mexico,female,Mexican,university,1-2hrs,4+ hrs,6-10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,strongly-disagree,9,mostly-agree,mostly-agree,mostly-agree,mostly-agree,metal,strongly-disagree,strongly-agree,strongly-agree,mostly-agree,mostly-agree
_1d30ek8wn,25-34,italy,female,italian,university,15-30,1-2hrs,1-2,mostly-agree,sort-of-agree,sort-of-agree,sort-of-agree,sort-of-agree,sort-of-disagree,not-sure,8,sort-of-agree,sort-of-agree,sort-of-agree,sort-of-agree,electronic,mostly-agree,sort-of-agree,mostly-agree,mostly-agree,mostly-agree
_1ke6z3ygs,25-34,UK,Female,British,full-time-employment,0-15,0-15,0-1,sort-of-agree,sort-of-disagree,not-sure,sort-of-agree,not-sure,strongly-disagree,strongly-disagree,3,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,Indie rock,sort-of-disagree,strongly-agree,mostly-agree,sort-of-agree,sort-of-disagree
_265vz9td6,65,Scotland,Female,British,retired,0-15,30-60,0-1,not-sure,not-sure,sort-of-disagree,mostly-agree,mostly-agree,strongly-disagree,strongly-disagree,10,not-sure,not-sure,strongly-disagree,not-sure,Pop,strongly-disagree,strongly-agree,not-sure,sort-of-agree,mostly-agree
_33t5p3vux,18-24,UK,Female,British,university,0-15,15-30,0-1,not-sure,mostly-agree,sort-of-disagree,sort-of-agree,sort-of-agree,strongly-disagree,strongly-disagree,5,strongly-disagree,strongly-disagree,mostly-agree,sort-of-agree,Pop,strongly-disagree,strongly-agree,sort-of-agree,sort-of-agree,sort-of-agree
_3g7glzy1o,25-34,UK,Male,British,university,2-4 hrs,1-2hrs,0-1,mostly-agree,sort-of-disagree,mostly-agree,strongly-agree,sort-of-disagree,strongly-disagree,strongly-disagree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Rock,sort-of-disagree,mostly-agree,mostly-agree,sort-of-disagree,sort-of-disagree
_57v8oow2l,25-34,China,Male,Chinese/Singaporean,university,30-60,30-60,6-10,mostly-agree,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,10,strongly-agree,strongly-agree,sort-of-agree,strongly-agree,"Jazz, RocknRoll, Country, Blues",strongly-disagree,mostly-agree,mostly-agree,sort-of-agree,not-sure
_5wyte9tjg,25-34,China,Male,Chinese,university,2-4 hrs,4+ hrs,4-6,mostly-agree,mostly-agree,strongly-agree,strongly-agree,strongly-agree,mostly-agree,strongly-agree,10,mostly-agree,strongly-disagree,mostly-agree,strongly-agree,Rock,strongly-disagree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
_68v3ai68u,45-54,Spain,female,Spanish,full-time-employment,4+ hrs,2-4 hrs,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,sort-of-agree,strongly-agree,10,strongly-agree,sort-of-agree,sort-of-agree,strongly-agree,"Funk, rock, alternative and classic...",strongly-disagree,strongly-agree,mostly-agree,strongly-agree,strongly-agree
