participant,file_path,timestamp,rms,zcr,harmonic_ratio,percussive_ratio,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_mean_6,tonnetz_var_1,tonnetz_var_2,tonnetz_var_3,tonnetz_var_4,tonnetz_var_5,tonnetz_var_6,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,self_similarity_mean,self_similarity_var,mfcc_motion,mfcc_accel,repetition_contrast,timbre_stability,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,spectral_contrast_var,spectral_complexity_mean,pitch_mean,pitch_std,pitch_range,onset_density,bpm,num_beats,onset_rate,danceability,key,scale,key_strength,pitch_range,num_notes,pitch_yin,pitch_salience,vibrato_extent,inharm_mean,inharm_var,dissonance_mean,dissonance_var,main_chord,num_chords,harmonic_percussive_ratio
_0sca4vavd,antoniosanchezdoorsanddistancebirdmansample2mp3.mp3,7.901600538945620,0.019115042,0.08996229226878610,0.6170384,0.43783852,0.09845676753429640,0.01669288849895630,0.051417843374767700,-0.034836475973409800,-0.025730286369072500,-0.01403110153912060,0.0037598110483892700,0.0016529235822854800,0.005753921964687980,0.006534429122454990,0.0013564792673165400,0.0006070122203463610,-970.6923,101.194595,49.89941,25.879694,9.3057,9.039862,5.826528,3.057152,0.34018412,3.3755448,-1.1525465,0.48458573,0.39930812,20200.678,2225.4934,669.2599,321.5623,218.24942,220.3267,221.7177,168.0748,98.73111,90.784676,53.87936,44.042805,48.084698,0.995901,1.3692566E-05,10.07844,11.665608,0.098814994,0.09922171,4013.4292392073000,627895.6382317090,2970.0969827586200,0.1528215592127590,-5.739306,0.3292988,1.2241379310344800,517.6979370117190,359.30810546875,935.9636840820310,9.0,104.4140625,3,"(array([0.22058956, 0.499229  , 0.80108845, 1.0913379 , 1.3699774 ,
       1.6602267 , 1.9504762 ], dtype=float32), 3.5)",[0.56888884 0.58049893],F,major,0.7440280914306640,65.76646423339840,52,237.01732704856200,0.49744463635777900,16.557601928710900,0.11969113783462400,0.009113705346674010,0.3489260336976840,0.004036978849243460,Ab,2,0.6347757
_0sca4vavd,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,6.365885234379810,0.24026555,0.01017487807080930,0.91262907,0.13877122,-0.03319365879635190,-0.022684959510662000,0.09599628566451870,-0.26626294971875800,-0.009707242288745130,0.052072190602365800,0.010908806923842000,0.027254374160528600,0.011428137064224500,0.007163999617770150,0.0023835790058295000,0.0018954990073124500,-691.79065,187.51634,41.036663,39.682034,22.250582,11.662455,14.943589,11.547005,1.4364882,5.0795083,-2.9641688,1.7809715,-5.126454,2593.7205,634.89777,418.47363,209.25177,103.208244,53.55259,71.24046,71.93303,125.20467,56.869904,32.931942,37.944363,40.36783,0.99688834,3.54367E-06,6.5841503,7.6869326,0.15140729,0.15187989,4500.910587003860,624472.6620535310,181.67093211206900,0.0361190387368973,-4.6817594,0.06275475,11.344827586206900,150.60189819335900,20.77927589416500,85.49613952636720,75.5,154.30209350585900,5,"(array([], dtype=float32), 0.0)",[0.3947392  0.3831293  0.34829926 0.32507932],B,major,0.8483168482780460,89.04270935058590,52,115.26009772040600,0.37916140105914000,19.353675842285200,0.08416806207837500,0.006532890870236300,0.39337725504943100,0.003254805895595700,Ebm,4,0.92209244
_0sca4vavd,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,0.0932790501083397,0.19378826,0.015077447615606900,0.8985419,0.16160299,-0.050640939278140800,0.1500762979595310,-0.04327307272395440,-0.22148054858364000,-0.025039902918164600,-0.12176154496890400,0.002680162606609020,0.011967458653752500,0.007767974241008260,0.02697692814106370,0.0013550384142868000,0.0012484337705166200,-735.9344,202.95921,56.80938,27.347118,14.303954,5.420577,3.4748046,18.137402,11.355971,10.830508,-13.03499,-4.9210014,-13.244582,1858.1292,1001.529,591.0152,264.37555,181.05801,56.31649,53.628826,122.602486,156.47,64.380714,55.938988,163.5852,203.74492,0.99503386,1.1732524E-05,6.851259,7.853536,0.14523372,0.14595857,4486.928372788700,550491.6728094240,322.5030307112070,0.03198006406330090,-4.8964076,0.05025436,8.316091954022990,114.38953399658200,18.6356258392334,71.43138122558590,61.5,166.70867919921900,5,"(array([], dtype=float32), 0.0)",[0.3599093  0.35990924 0.34829938 0.34829926],Bb,major,0.8550217747688290,78.1904067993164,34,126.16976601736900,0.20398365265943800,19.388132095336900,0.08168491257867800,0.007335481114916750,0.34834340458013600,0.005402795987140340,Bb,2,0.9086808
_0sca4vavd,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,2.110123717817920,0.20455196,0.01134336614884390,0.9228903,0.13926093,0.4852879935818110,-0.13869774002879400,0.5668879601479510,0.2564955790199070,0.11539718921124800,-0.1640797137284010,0.019308916513854900,0.017123843890280800,0.011225235903794100,0.0055588036224581400,0.0023886936316417600,0.005496172907202150,-841.6951,302.6231,43.998074,19.103258,-7.405681,-10.667075,-3.1034203,-5.865251,-14.644957,-9.272661,-11.658568,-5.482146,-6.270633,5075.2573,1733.7017,107.03978,65.58393,28.659702,70.12054,53.304726,36.139343,27.50346,26.2249,35.15308,62.320988,41.343616,0.9958642,2.5317626E-05,6.253288,8.491143,0.15925449,0.15991588,4118.108724659890,359948.27861882300,315.69655845905200,0.012669903677138900,-5.366458,0.1364959,9.017241379310350,183.36277770996100,14.096009254455600,46.177978515625,48.0,172.265625,5,"(array([], dtype=float32), 0.0)",[0.34829935 0.34829932 0.33668935 0.3134693 ],E,minor,0.8629069924354550,106.65184020996100,29,177.77626540444100,0.5387098589404060,18.746423721313500,0.2021544441813600,0.012047661225816700,0.3393124927851290,0.0028674829294185400,G,4,0.91833407
_0sca4vavd,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,10.213430136258700,0.024075106,0.01907401553468210,0.93556124,0.12186759,0.6239992898836480,-0.19401993265424500,0.5912909768118870,0.390858403976854,0.16548321322965200,-0.24343976849583800,0.002010737142816420,0.0064308670732256400,0.0014557335411597000,0.0018212009805055800,0.002509934519168120,0.0002900596795832390,-1020.4894,254.72667,94.0244,-2.0153832,-19.694244,-7.458493,4.4415855,7.895645,5.90603,2.107068,-9.511053,-25.355915,-28.898825,836.7516,146.3192,648.21405,121.41378,101.34192,48.576565,25.36263,46.200657,48.7775,40.24109,22.202099,83.44396,82.661934,0.9987708,1.5753064E-06,4.26389,5.337194,0.23423935,0.23452763,4764.087315351110,308710.42284652600,592.0393318965520,0.019346935107190700,-6.2798285,0.0639757,3.9827586206896600,783.5515747070310,1.3546690940856900,4.51556396484375,0.5,90.6661148071289,2,"(array([], dtype=float32), 0.0)",[0.66176873],E,minor,0.8145477771759030,9.05731201171875,3,397.5068641142410,0.3969314655458390,1.7116771936416600,0.2147339906077830,0.010925169737559200,0.2788696935908360,0.013500917532257200,Em,1,0.9702463
_0sca4vavd,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,11.216895647301500,0.2408909,0.037586366510115600,0.7805843,0.28732362,0.34370684260219000,0.022844606806154600,0.09623226802204150,-0.05706021118390560,-0.018921124977127400,0.017124713539440600,0.00490604218858289,0.011124078932124900,0.001617849560697630,0.04176382698720940,0.009692551001080290,0.0010040275543866700,-583.99,175.47285,-6.2966766,-9.73438,-0.76332617,-19.928024,-9.826277,21.706902,-13.209217,-8.646954,0.15926568,-11.20249,4.433029,4621.248,960.68274,461.09738,599.25616,529.6331,189.00351,196.16107,545.0565,120.39654,75.82571,75.06392,126.0377,54.4962,0.9904217,4.9372706E-05,5.887435,6.973154,0.16822635,0.16985326,4565.704911155260,386199.70129337400,959.4650794719830,0.00402115585132577,-4.373444,0.068746224,25.04022988505750,303.34466552734400,21.423542022705100,140.20123291015600,80.0,143.5546875,4,"(array([], dtype=float32), 0.0)",[0.41795918 0.39473915 0.38312924],G,major,0.8127155303955080,282.3358459472660,43,244.66797018051100,0.5374794639647010,113.55490112304700,0.14640917459672100,0.0046871570419104300,0.39499399573965500,0.003573287896746660,C,3,0.79047936
_0sca4vavd,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,0.1492464801733440,0.100450195,0.013372696893063600,0.73644346,0.3139651,0.24561316681714300,-0.1376246230973660,0.18135015627280900,-0.1291843835957390,-0.031527781862109700,-0.024892022826625100,0.0011551304085038600,0.004438428400048160,0.010249346468693800,0.015013743558944800,0.0037210670905393300,0.003527110925836150,-758.4855,203.27121,49.067387,24.55814,20.226555,-5.170395,-3.9309216,7.069086,-4.6940184,-1.300995,-6.8887615,-5.639162,3.8505166,2365.3975,268.05014,164.46144,142.96013,127.61045,67.70575,154.39626,108.91254,128.2558,67.529045,57.191345,92.055016,59.188408,0.9976474,3.1475727E-06,6.431136,7.445709,0.1551277,0.15549353,4410.119748871900,401208.97934181500,350.34768992456900,0.0043462548383522300,-5.004981,0.049793467,8.477011494252870,202.33242797851600,11.247686386108400,37.77716064453130,25.5,161.49903869628900,4,"(array([], dtype=float32), 0.0)",[0.37151927 0.3715192  0.42956924],D,major,0.8339374661445620,112.38091278076200,25,147.3577361761360,0.3597404123707250,32.658897399902300,0.1464632798862810,0.003712404160086560,0.35815633833408400,0.002702247332173760,G,2,0.6744517
_0sca4vavd,lovescooterthomasnewmanelementalsample2mp3.mp3,2.549333333333330,0.14494635,0.024924923229768800,0.863433,0.20642798,0.21509713560621700,-0.060807093660690500,-0.10573226585088500,0.06904870441351270,0.02904199966580630,0.04574638863452150,0.004188730418688710,0.001631162999805520,0.006156635232451980,0.008972644635202970,0.004082088387517570,0.0008496400105210340,-681.2987,187.4425,16.849075,22.363619,16.961428,3.599278,-12.174347,-3.4100444,-2.6073437,4.8789372,-4.6308727,-9.239153,4.329466,1439.5206,489.37082,255.07428,201.23624,163.66434,146.19858,87.00015,129.81554,158.24902,83.255295,112.44295,88.42992,199.3239,0.99594146,9.526487E-06,6.984191,7.886018,0.1425994,0.1431805,4763.878275553390,477090.5210482240,394.65163658405200,0.03740850185183270,-4.7750926,0.04934902,12.959770114942500,131.58984375,25.040889739990200,82.4050064086914,73.5,198.7680206298830,6,"(array([], dtype=float32), 0.0)",[0.33668932 0.3134694  0.30185938 0.30185938 0.3018595 ],A,minor,0.8703755140304570,88.47540283203130,42,179.19997423345400,0.48363610763441400,21.806941986084000,0.1495048121591520,0.0135280931394798,0.40232893016020000,0.002472467135150680,Ab,5,0.86669654
_0sca4vavd,prayerhanszimmerthecreatorsample2mp3.mp3,6.585421469080270,0.076602265,0.047357636380057800,0.8769821,0.18529947,0.40571160252491000,0.17317649680555000,-0.24633025869359900,-0.07368166024390340,-0.06866020864732980,0.27464129326501300,0.001281126758551000,0.0017959639576897600,0.0028845652323635500,0.001522489847218810,0.0008084730089690230,0.0010487377885933100,-721.1562,233.53767,-67.0026,10.5146,-1.2922351,-17.561298,-11.892042,9.08921,-15.408733,-8.844818,-11.168462,0.4375319,-5.8031,652.1815,205.38196,280.17657,70.940834,72.66146,104.62326,82.1858,99.74821,62.50045,89.917725,105.37024,114.81259,192.02454,0.9975387,2.8538066E-06,5.5949936,6.627645,0.1782913,0.17873122,4756.578579606680,217287.8185500600,1430.596713362070,0.013783447417676800,-5.0565114,0.015897581,16.04022988505750,256.9999084472660,21.407474517822300,79.14657592773440,21.0,97.50885009765630,3,"(array([], dtype=float32), 0.0)",[0.6153287 0.6153288],D,minor,0.8248271346092220,171.8974609375,24,208.24592200192500,0.5174936631863770,72.14444732666020,0.221512551673434,0.0032631314532092300,0.40200068983672700,0.0036811084701124000,Dm,2,0.8911889
_0sca4vavd,prayerhanszimmerthecreatorsample2mp3.mp3,12.455574323645900,0.21484123,0.040228165643063600,0.88705015,0.17829992,-0.01147442026964450,0.31003575158062900,-0.28294455315744700,-0.392211974377371,0.13784594777069200,-0.1035804113791050,0.03546189640977000,0.005473831306298620,0.0036831439294335600,0.01502695597746180,0.00563514574038004,0.004351051729600440,-587.9414,216.12839,-63.222527,18.012985,-3.7923265,-9.17686,0.035587706,0.3762879,-14.266712,2.0932834,-11.276498,2.0629773,0.040479034,582.4454,131.45857,180.91498,85.42779,99.31174,100.76604,110.78583,91.354416,79.147514,67.4111,101.06067,70.85219,79.71712,0.9971697,3.7801228E-06,5.865353,6.9557185,0.17001016,0.17049272,4954.358973711390,171046.28048336400,1177.5196996228400,0.014439880708767800,-4.4060717,0.042993747,28.07471264367820,115.86609649658200,0.7503748536109920,3.9928512573242200,86.5,118.819580078125,4,"(array([], dtype=float32), 0.0)",[0.51083905 0.49922895 0.4643991 ],Bb,major,0.8136691451072690,571.070068359375,29,245.9937142458830,0.49906314570795400,165.10040283203100,0.18416477646678700,0.004813058910089300,0.41448242511515600,0.00318005941826939,Gm,3,0.8891325
