ID,Pathname,After Coordinate,Before Coordinate,Filename,Start_Time,End_Time,after_MFCC_1_Mean,after_MFCC_2_Mean,after_MFCC_3_Mean,after_MFCC_4_Mean,after_MFCC_5_Mean,after_MFCC_6_Mean,after_MFCC_7_Mean,after_MFCC_8_Mean,after_MFCC_9_Mean,after_MFCC_10_Mean,after_MFCC_11_Mean,after_MFCC_12_Mean,after_MFCC_13_Mean,after_MFCC_1_Var,after_MFCC_2_Var,after_MFCC_3_Var,after_MFCC_4_Var,after_MFCC_5_Var,after_MFCC_6_Var,after_MFCC_7_Var,after_MFCC_8_Var,after_MFCC_9_Var,after_MFCC_10_Var,after_MFCC_11_Var,after_MFCC_12_Var,after_MFCC_13_Var,after_Spectral_Centroid,after_Spectral_Bandwidth,after_Spectral_Contrast,after_Spectral_Rolloff,after_Zero_Crossing_Rate,after_Chroma_1,after_Chroma_2,after_Chroma_3,after_Chroma_4,after_Chroma_5,after_Chroma_6,after_Chroma_7,after_Chroma_8,after_Chroma_9,after_Chroma_10,after_Chroma_11,after_Chroma_12,Valence,Arousal,Filename_Key,Matched_Path,Arousal Change,Valence Change,Before Valence,Before Arousal,before_MFCC_1_Mean,before_MFCC_2_Mean,before_MFCC_3_Mean,before_MFCC_4_Mean,before_MFCC_5_Mean,before_MFCC_6_Mean,before_MFCC_7_Mean,before_MFCC_8_Mean,before_MFCC_9_Mean,before_MFCC_10_Mean,before_MFCC_11_Mean,before_MFCC_12_Mean,before_MFCC_13_Mean,before_MFCC_1_Var,before_MFCC_2_Var,before_MFCC_3_Var,before_MFCC_4_Var,before_MFCC_5_Var,before_MFCC_6_Var,before_MFCC_7_Var,before_MFCC_8_Var,before_MFCC_9_Var,before_MFCC_10_Var,before_MFCC_11_Var,before_MFCC_12_Var,before_MFCC_13_Var,before_Spectral_Centroid_Mean,before_Spectral_Bandwidth_Mean,before_Spectral_Contrast_Mean,before_Spectral_Rolloff_Mean,before_Zero_Crossing_Rate_Mean,before_Chroma_1_Mean,before_Chroma_2_Mean,before_Chroma_3_Mean,before_Chroma_4_Mean,before_Chroma_5_Mean,before_Chroma_6_Mean,before_Chroma_7_Mean,before_Chroma_8_Mean,before_Chroma_9_Mean,before_Chroma_10_Mean,before_Chroma_11_Mean,before_Chroma_12_Mean,before_start_time,after_start_time
_qrc1rvm7l,/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,"(0.0, 0.0)","(0, 0)","Another_Round__DRUK_-_Schubert_ Fantasie_in_f_Moll,_D940_(Fantasy_in_F_minor)_sample_1.mp3",4.09980329226628,5.76579356040998,-269.78625,260.51843,20.41275,-23.2235,4.2650733,0.13365978,-7.519572,-9.739119,-4.317639,0.69168824,-7.8168893,-13.272228,-6.3321056,518.7001,156.0542,208.6706,97.68713,57.794758,81.43942,53.462967,46.835556,45.62092,57.134323,33.80677,87.53769,63.16381,707.005820876876,748.380037611113,21.7069036455119,1115.39001464844,0.0248548719618055,0.22434634,0.34837553,0.26900402,0.29951203,0.28856006,0.40271586,0.3618244,0.65570897,0.67892593,0.28015196,0.054805372,0.06842331,0.0,0.0,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/leobirenbergbottomsendcreditssample2mp3.mp3,0.0,0.0,0.0,0.0,-256.43848,244.76466,41.800434,-17.435753,5.8703017,11.5015,-1.4763322,-6.842925,-2.0261946,-3.009295,-10.674215,-9.7975235,-1.9530175,422.39148,117.24036,189.76076,57.874527,41.35505,11.251362,15.727566,29.213505,48.66344,51.512123,45.202065,16.808756,27.937035,625.6962845349720,770.0505401012590,22.71358531416050,1018.0007408405200,0.02051342492816090,0.21705051,0.47783455,0.21752775,0.11605019,0.19890335,0.38428757,0.29959074,0.28954384,0.55773973,0.36461663,0.091511026,0.08199783,3.09980329226628,4.09980329226628
_qrc1rvm7l,/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,"(0.251, -0.274)","(0.0, 0.0)","Another_Round__DRUK_-_Schubert_ Fantasie_in_f_Moll,_D940_(Fantasy_in_F_minor)_sample_1.mp3",7.14871574006981,8.34260744728588,-378.19156,232.19862,42.57528,-11.61312,-14.493381,-12.870113,-6.176105,-9.307685,-7.588086,-5.59061,-10.502845,-7.4271708,1.3095703,673.3647,382.03244,59.845177,112.888084,56.418552,29.69482,31.739687,36.23068,42.694263,93.4268,88.061226,32.786606,93.21497,722.984571516059,889.493621691502,21.0773782292086,1018.54141383495,0.0253953655946601,0.3879923,0.17555924,0.1353085,0.1349251,0.0679644,0.16540939,0.28329143,0.85986245,0.4100899,0.04301453,0.092710376,0.39807162,0.251,-0.274,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/leobirenbergbottomsendcreditssample2mp3.mp3,-0.274,0.251,0.0,0.0,-328.76923,249.71556,19.674753,-28.84649,-8.632666,-3.1540112,-5.46299,-11.175594,-9.758304,-12.301916,-20.196358,-10.235098,13.927005,1016.7738,204.23747,270.13486,108.54652,41.03036,37.766014,35.423977,71.37883,119.011406,46.947662,23.856243,32.36959,116.542915,876.2102741484520,818.7928115570640,23.43323541784840,1319.2180765086200,0.038125224497126400,0.16954179,0.09727262,0.42572936,0.512159,0.16840187,0.31362107,0.2245112,0.4573096,0.17019108,0.030751625,0.12298163,0.36116195,6.14871574006981,7.14871574006981
_p44ad1wtv,/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,"(0.337, -0.747)","(0, 0)",Alberto_Iglesias_Claqueta_Final_Pain_and_Glory_sample_1.mp3,2.93151927437642,3.13151927437642,-166.01741,179.95525,-38.617393,30.686296,-40.173203,-4.974501,-19.978704,-1.3355287,-12.294414,-4.908375,-18.205513,-11.10069,-19.195587,115.48112,77.33937,177.14836,98.76728,80.87461,37.549873,21.775665,19.541986,8.097463,16.345871,26.758783,8.20585,30.031992,1796.06560116488,2485.26477585024,21.9470078881903,3202.4658203125,0.0376247829861111,0.6581681,0.33762178,0.9553479,0.37099355,0.15057462,0.35434595,0.25545883,0.15986097,0.18785268,0.12447742,0.027309656,0.12313987,0.337,-0.747,alberto_iglesias_claqueta_final_pain_and_glory.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/littlewomenrobertschumannkinderszenenop15ivonfremdenlandernundmenschensample2mp3.mp3,-0.747,0.337,0.0,0.0,-193.019,185.40115,-21.844275,26.60195,-24.120417,-0.5192773,-0.94690186,-1.2220904,-10.207221,-5.579017,-14.575306,-9.598271,-15.425015,333.65527,85.220604,43.318237,123.069145,120.539635,89.95738,92.100235,49.622616,35.71071,41.84175,36.203854,25.521914,14.442878,1431.4587096081100,2074.880398144460,24.999080701012200,2212.969760237070,0.03570065553160920,0.72714233,0.35284027,0.83682454,0.32542956,0.16978817,0.43205252,0.2857898,0.15809007,0.2852631,0.22187404,0.12554137,0.21955173,1.93151927437642,2.93151927437642
_p44ad1wtv,/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,"(0.227, 0.678)","(0.337, -0.747)",Alberto_Iglesias_Claqueta_Final_Pain_and_Glory_sample_1.mp3,7.43909297052154,7.63909297052154,-235.72011,181.43268,-25.003948,38.31068,-27.506655,6.828307,-8.124138,3.6724896,-4.93226,9.729615,-11.14759,-8.039043,-18.960007,94.61357,86.943375,50.390568,157.1348,28.292248,16.356583,72.21265,16.125965,73.414375,41.95302,26.536974,17.180973,18.598904,1707.79214506866,2478.66324415078,21.7009629247805,2988.330078125,0.0400390625,1.0,0.2882902,0.026590785,0.07339034,0.15086496,0.36606336,0.23014362,0.09701174,0.12194814,0.07170991,0.028653516,0.173777,0.227,0.678,alberto_iglesias_claqueta_final_pain_and_glory.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/littlewomenrobertschumannkinderszenenop15ivonfremdenlandernundmenschensample2mp3.mp3,1.425,-0.11,0.337,-0.747,-266.69574,170.71152,-5.120162,33.229225,-9.891724,3.4496067,10.490464,3.9277298,7.1191497,12.19792,1.0343052,-2.5954218,-11.49334,354.67523,84.823006,131.97342,50.659145,89.6882,45.29637,100.33499,40.39925,38.40822,33.799995,53.71592,39.516117,38.198994,1375.1497272996900,2236.1549978744600,23.709216538990100,2402.808459051720,0.026226876795977000,0.897741,0.22989002,0.098721266,0.13492431,0.18367629,0.2536411,0.2734218,0.35691908,0.46971798,0.4570042,0.34024492,0.3768676,6.43909297052154,7.43909297052154
_1cpqpmytm,/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,"(0.511, 0.226)","(0, 0)",Across_The_Ocean_Thomas_Newman_Elemental_sample_1.mp3,0.0203718354430379,0.954549050632911,-115.95905,104.93181,-12.878122,74.080025,-15.916498,50.69416,-29.053572,23.424847,-21.873411,24.996374,-11.997662,13.635111,-4.7111,1091.2743,138.27286,105.32987,133.92099,184.775,85.17191,118.366196,58.881325,38.77752,70.43942,80.33431,85.62542,79.39862,4291.016804526,4708.37466183958,22.9565830718681,10487.4674479167,0.0789086612654321,0.37554276,0.40104553,0.39855424,0.4875607,0.76491886,0.46725592,0.27958313,0.25363624,0.45423973,0.82280844,0.5542622,0.39949253,0.511,0.226,across_the_ocean_thomas_newman_elemental.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/lultimadiligenzadiredrockenniomorriconethehatefuleightsample2mp3.mp3,0.226,0.511,0.0,0.0,-144.62132,110.49913,2.51405,49.94667,12.174421,30.573061,-10.712616,13.352364,-2.9503043,21.509329,7.993002,19.37374,-0.71905994,49.86468,9.790078,0.12503685,7.3895273,0.82209563,3.4533541,0.34767494,0.5437596,24.398762,1.9138007,0.09835502,9.857405,9.430731,3271.2418894860500,4628.007792401290,14.075541502373000,8462.548828125,0.01953125,0.8764482,0.8261231,0.83225936,0.8290984,0.8634433,0.8426967,0.7539158,0.7708173,0.8742966,1.0,0.91729736,0.9106555,0.0,0.0203718354430379
_1cpqpmytm,/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,"(0.586, 0.501)","(0.511, 0.226)",Across_The_Ocean_Thomas_Newman_Elemental_sample_1.mp3,1.26293723628692,3.60217774261604,-102.15484,159.31967,-18.137762,56.80192,-25.142326,37.1097,-25.745586,21.560978,-13.484274,15.8777,-7.089928,2.0985818,-4.0670643,456.90045,95.53147,74.16262,59.50899,93.235596,47.60335,63.984604,35.940815,42.80724,28.976723,63.359615,44.97984,69.9931,2477.22848015689,3445.2230812684,21.7717795683614,5847.01084854579,0.0475300703898514,0.49833733,0.6305619,0.39344028,0.36769623,0.5854476,0.31949922,0.24258658,0.30734715,0.59928715,0.8667007,0.59341615,0.51763433,0.586,0.501,across_the_ocean_thomas_newman_elemental.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/lultimadiligenzadiredrockenniomorriconethehatefuleightsample2mp3.mp3,0.275,0.075,0.511,0.226,-98.393814,114.91501,-12.978119,69.33387,-22.749043,44.80025,-32.79582,20.252594,-23.471199,21.12318,-14.2916565,9.024183,-7.9084306,570.3956,348.9795,107.029175,158.47493,160.02855,126.71837,146.0253,49.137947,53.026737,89.68061,49.316895,76.9111,37.776703,4080.2233352984400,4517.740241256020,23.811846663420700,9874.829943426730,0.08168327945402300,0.21371096,0.26832113,0.24900596,0.391157,0.7752626,0.3958636,0.19080795,0.17954738,0.40053454,0.7872614,0.47162405,0.2538433,0.26293723628692,1.26293723628692
_1cpqpmytm,/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,"(0.781, 0.341)","(0.586, 0.501)",Across_The_Ocean_Thomas_Newman_Elemental_sample_1.mp3,7.46340981012658,9.8279667721519,-99.09256,158.72447,-16.976137,51.899654,-31.405533,33.845352,-25.260527,17.528143,-13.7921505,11.507727,-11.364516,3.262795,-12.004038,406.6101,135.31845,53.901287,28.48578,44.949684,64.46837,57.176884,46.328957,64.56621,38.428173,39.016502,47.53009,50.372665,2621.91805418383,3492.06579960432,21.7295516886853,6317.88401884191,0.0583855124080882,0.31893316,0.53727627,0.5051847,0.39857173,0.57980233,0.42816254,0.43085623,0.30865565,0.41331586,0.8400004,0.5817587,0.36081827,0.781,0.341,across_the_ocean_thomas_newman_elemental.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/lultimadiligenzadiredrockenniomorriconethehatefuleightsample2mp3.mp3,-0.16,0.195,0.586,0.501,-119.46713,164.70721,-11.023486,53.323658,-22.937122,37.69674,-29.271507,21.825275,-14.243428,14.812846,-6.2010646,4.294811,-4.424233,337.57614,54.964382,68.13509,23.53266,53.803413,34.901653,67.77975,31.985645,43.267494,49.929855,26.314207,35.094086,30.003193,2334.113785397890,3448.865083680050,22.490604998908000,5584.27734375,0.04611732219827590,0.4707941,0.61243355,0.4244953,0.3212863,0.6953641,0.55151474,0.2601874,0.24920283,0.409935,0.67866457,0.6262514,0.62657493,6.46340981012658,7.46340981012658
_1cpqpmytm,/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,"(0.916, 0.731)","(0.781, 0.341)",Across_The_Ocean_Thomas_Newman_Elemental_sample_1.mp3,12.4451144514768,14.9362536919831,-139.41837,147.82968,-18.393135,50.299526,-22.260489,38.8694,-22.465534,13.330588,-15.517065,14.021134,-5.2466,3.4390104,-7.7347894,1595.2974,139.96791,91.65033,57.420822,71.456566,68.94382,67.25745,88.10084,46.693726,63.15355,39.51955,37.342705,41.546494,2642.10889154589,3568.35880147033,22.2643543111411,6389.251907703490,0.0487986010174418,0.28804436,0.21881801,0.22111207,0.2808546,0.45827407,0.31229937,0.2367173,0.22638606,0.4904128,0.85516095,0.539412,0.50086653,0.916,0.731,across_the_ocean_thomas_newman_elemental.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/lultimadiligenzadiredrockenniomorriconethehatefuleightsample2mp3.mp3,0.39,0.135,0.781,0.341,-121.303894,162.60133,-18.346025,57.068684,-21.093985,34.60342,-20.704803,16.49809,-11.28222,13.270964,-8.919046,-1.8289773,-4.8325763,545.5883,188.9452,75.912346,60.174904,57.137127,58.3375,73.54298,42.24182,40.781433,41.757683,58.964104,39.496887,51.22114,2260.161294438040,3241.315752333830,22.1678024301954,5221.678003771550,0.04150951867816090,0.43974376,0.5176421,0.39478612,0.31188002,0.40616181,0.3062039,0.21233362,0.22617441,0.43046036,0.89610136,0.7252769,0.5734083,11.4451144514768,12.4451144514768
_1cpqpmytm,/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,"(0.661, 0.361)","(0.916, 0.731)",Across_The_Ocean_Thomas_Newman_Elemental_sample_1.mp3,5.23556170886076,6.53682753164557,-97.47371,154.4197,-19.643606,53.740017,-31.013971,36.826897,-25.446106,16.583681,-16.97024,11.260648,-12.511395,2.8712661,-5.6490474,405.76935,129.83069,85.90553,40.441906,40.942913,53.49299,95.35054,56.204853,59.700283,49.94449,26.00467,34.60125,53.217922,2765.31974574534,3607.0855214340700,21.386848230778,6789.43800124447,0.0589307936946902,0.4367524,0.66763186,0.3402393,0.29502302,0.6294077,0.3381812,0.15065397,0.19380929,0.47908613,0.79988724,0.5376317,0.44634828,0.661,0.361,across_the_ocean_thomas_newman_elemental.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/lultimadiligenzadiredrockenniomorriconethehatefuleightsample2mp3.mp3,-0.37,-0.255,0.916,0.731,-101.47409,164.81754,-15.700215,54.97859,-24.839249,32.205215,-29.152044,19.318043,-12.281177,10.563451,-11.329536,-2.6144996,-1.8677675,383.6771,71.625275,45.096756,58.81905,67.98742,79.64214,77.080574,54.63773,51.280247,46.753113,53.555508,45.008858,29.982054,2325.549910598710,3350.93728259265,22.172096932970200,5431.564857219830,0.04260394216954020,0.35243434,0.36417535,0.51759034,0.4258058,0.6081086,0.3954574,0.3411877,0.29392236,0.5848896,0.86654854,0.54343534,0.5772376,4.23556170886076,5.23556170886076
_rhl53olmi,/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,"(-0.368, 0.703)","(0, 0)",Alan_Silvestri_-_Infinity_War_(From_Avengers_sample_1.mp3,5.43855602207045,5.63855602207045,-127.17478,239.15114,-38.680756,19.36065,-0.7702665,18.088007,-7.380783,12.385285,-1.7273031,-5.016983,-2.1581452,0.8892545,3.510568,122.70233,82.23962,31.01441,20.68771,17.877762,15.287607,13.604489,14.586362,12.736699,9.017998,25.805456,23.81419,9.806615,1193.43309012991,1753.28765664,17.1631015614741,2172.28618421053,0.0240028782894736,0.72415197,0.39829004,0.22674787,0.3966653,0.78498346,0.5243532,0.3319551,0.29496005,0.31395042,0.2260846,0.22755967,0.50532895,-0.368,0.703,alan_silvestri___infinity_war_from_avengers.mp3,/Users/rubycrocker/Desktop/fme_audio_mp3/littlewomenrobertschumannkinderszenenop15ivonfremdenlandernundmenschensample2mp3.mp3,0.703,-0.368,0.0,0.0,-152.17368,247.06001,-29.59144,17.351112,-1.1914868,10.9326105,-6.725992,8.1143,0.6480163,-1.6188337,0.5491249,-0.002610998,2.9626718,181.45876,108.49459,48.784325,17.619131,14.762767,31.86837,24.390064,18.637506,19.783386,23.014246,28.547243,24.794216,15.658879,1098.1181802412400,1576.672545261650,19.40812007870370,1955.784574468090,0.02738011136968090,0.5072761,0.4346649,0.25352812,0.33238629,0.72911406,0.4124443,0.29517213,0.35820594,0.41723365,0.69571185,0.5219539,0.58224165,4.43855602207045,5.43855602207045
