Filename,Start_Time,End_Time,Valence,Arousal,Filename_Key,Before Valence,Before Arousal,Audionames,Before_Chords,After_Chords,Chord_Type,Arousal_Category,Valence_Category
/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,4.09980329226628,5.76579356040998,0.0,0.0,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,0.0,0.0,anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3,"['N', 'C', 'N']","['N', 'F', 'N']",['Major'],Neutral,Neutral
/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,7.14871574006981,8.34260744728588,0.251,-0.274,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,0.0,0.0,anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3,"['N', 'Fm', 'N']","['N', 'Fm', 'N']",['Minor'],Negative Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,2.93151927437642,3.13151927437642,0.337,-0.747,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.0,0.0,albertoiglesiasclaquetafinalpainandglorysample2mp3,"['N', 'Abdim', 'N']","['N', 'N']",None,Negative Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,7.43909297052154,7.63909297052154,0.227,0.678,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.337,-0.747,albertoiglesiasclaquetafinalpainandglorysample2mp3,"['N', 'Ddim', 'N']","['N', 'N']",None,Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,0.0203718354430379,0.954549050632911,0.511,0.226,across_the_ocean_thomas_newman_elemental.mp3,0.0,0.0,acrosstheoceanthomasnewmanelementalsample2mp3,"['N', 'N']","['N', 'A', 'N']",['Major'],Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,1.26293723628692,3.60217774261604,0.586,0.501,across_the_ocean_thomas_newman_elemental.mp3,0.511,0.226,acrosstheoceanthomasnewmanelementalsample2mp3,"['N', 'A', 'N']","['N', 'E7', 'N']",['None'],Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,7.46340981012658,9.8279667721519,0.781,0.341,across_the_ocean_thomas_newman_elemental.mp3,0.586,0.501,acrosstheoceanthomasnewmanelementalsample2mp3,"['N', 'A', 'N']","['N', 'A', 'N']",['Major'],Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,12.4451144514768,14.9362536919831,0.916,0.731,across_the_ocean_thomas_newman_elemental.mp3,0.781,0.341,acrosstheoceanthomasnewmanelementalsample2mp3,"['N', 'A', 'N']","['N', 'A', 'N']",['Major'],Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,5.23556170886076,6.53682753164557,0.661,0.361,across_the_ocean_thomas_newman_elemental.mp3,0.916,0.731,acrosstheoceanthomasnewmanelementalsample2mp3,"['N', 'D', 'N']","['N', 'E/B', 'N']",['Diminished'],Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,5.43855602207045,5.63855602207045,-0.368,0.703,alan_silvestri___infinity_war_from_avengers.mp3,0.0,0.0,alansilvestriinfinitywarfromavengerssample1mp3,"['N', 'A', 'N']","['N', 'N']",None,Positive Arousal,Negative Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,7.47940102231648,7.67940102231648,0.667,0.253,alan_silvestri___infinity_war_from_avengers.mp3,-0.368,0.703,alansilvestriinfinitywarfromavengerssample1mp3,"['N', 'A', 'N']","['N', 'N']",None,Positive Arousal,Positive Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,13.0188374515557,13.2188374515557,-0.483,0.253,alan_silvestri___infinity_war_from_avengers.mp3,0.667,0.253,alansilvestriinfinitywarfromavengerssample1mp3,"['N', 'A', 'N']","['N', 'N']",None,Positive Arousal,Negative Valence
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_1.mp3,12.70625,12.90625,0.732,0.362,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.227,0.678,albertoiglesiasclaquetafinalpainandglorysample1mp3,"['N', 'Dm7b5', 'N']","['N', 'N']",None,Positive Arousal,Positive Valence
