participant_id,sample_id,emotion_sentence,all_timestamps,all_valence_values,all_arousal_values,emotion_sentence_clean,familiarity_rating,film,composer,song_name,year,soundtrack,director,genre,ISRC
_0sca4vavd,/audioFolder10//film-score-emotion-survey/audioFolder10/Walking_Home_Andre_Matthias_The_Gravedigger's_Wife_sample_1,"a curious feeling. the second marker makes it feel like the beginning of an adventure, an unknown feeling with apprehension.","[1.60533333333333, 10.009403020557]","[0.66, -0.315]","[0.158, 0.168]",curious feeling second marker makes feel like beginning adventure unknown feeling apprehension,familiar,The Gravedigger's Wife,Andre Matthias,Walking Home,2021,0,Khadar Ayderus Ahmed,Drama,GBMEZ2152235
_0sca4vavd,/audioFolder2//film-score-emotion-survey/audioFolder2/Dickon_Hinchliffe_-_Octopus_The_Lost_Daughter_sample_1,"the first dot it has a curious feeling, like sneaky, at the second region/dot it turns and become very subtly more sinister.","[6.36588523437981, 0.0932790501083397]","[-0.535, 0.535]","[0.178, 0.193]",dot curious feeling like sneaky second regiondot turns subtly sinister,never-heard-this,The Lost Daughter,Dickon Hinchliffe,Octopus,2021,0,Maggie Gyllenhaal,Horror Mystery Thriller,QA8BZ2100961
_0sca4vavd,/audioFolder3//film-score-emotion-survey/audioFolder3/Gregoire_Hetzel_-_Trente_ans__Un_amour_impossible_sample_1,"the first marker near where something begins, you know from the start its a sad feeling but that solo note feels more lonely and sad and then after the second marker where the next solo note comes in which sounds more delicate it makes it feel even sadder.","[2.11012371781792, 10.2134301362587]","[-0.545, -0.73]","[-0.552, -0.717]",marker near begins know start sad feeling solo note feels lonely sad second marker solo note comes sounds delicate makes feel sadder,familiar-feeling-not-familiar,An Impossible Love,Grégoire-Hetzel,Trente ans,2018,0,Catherine Corsini,Drama Music,FR8E71804650
_0sca4vavd,/audioFolder4//film-score-emotion-survey/audioFolder4/It'll_All_Be_Over_The_Supreme_Jubilees_Moonlight_sample_2,"very relaxed vibes overall, but i know this song very well and it brings a bittersweet feeling to me, at times i hear it slightly sad, at times its slightly positive but it's very peaceful and sleepy. ","[11.2168956473015, 0.149246480173344]","[-0.23, 0.205]","[-0.897, -0.857]",relaxed vibes overall know song brings bittersweet feeling times hear slightly sad times slightly positive peaceful sleepy,definitely-familiar,Inception,Hans Zimmer,Time,2010,0,Christopher Nolan,Drama,USDEA1412001
_0sca4vavd,/audioFolder5//film-score-emotion-survey/audioFolder5/Love_Scooter_Thomas_Newman_Elemental_sample_2,slightly sinister feeling but with a hint of curiousity.,[2.54933333333333],[-0.35],[0.723],slightly sinister feeling hint curiousity,never-heard-this,Elemental,Thomas Newman,Love Scooter,2023,0,Peter Sohn,Animation Adventure Comedy,USWD12327224
_0sca4vavd,/audioFolder6//film-score-emotion-survey/audioFolder6/Prayer_Hans_Zimmer_The_Creator_sample_2,"i think this excerpt sounds quite haunting, it has high energy and almost feels tense but theres something quite other-wordly and holy about it, the second pointer indicates where i felt the tension rising, the feeling becoming more intense and more negetive.","[6.58542146908027, 12.4555743236459]","[-0.4, -0.605]","[0.353, 0.743]",think excerpt sounds quite haunting high energy feels tense theres quite otherwordly holy second pointer indicates felt tension rising feeling intense negetive,familiar-feeling-not-familiar,The Creator ,Hans Zimmer,Prayer,2023,0,Gareth Edwards,Action Adventure Drama,USHR12346460
_0sca4vavd,/audioFolder7//film-score-emotion-survey/audioFolder7/Quisling's_Speech_Johan_Soderqvist_The_King's_Choice_sample_2,"it feels quite tense and eerie, on the second marker something about a heavy pedal sound in the background made it feel ever so slightly more creepy and sinister, it feels like something bad is about to happen.","[3.33183279730268, 10.887915867479]","[-0.625, -0.835]","[0.333, 0.173]",feels quite tense eerie second marker heavy pedal sound background feel slightly creepy sinister feels like bad happen,familiar-feeling-not-familiar,The King's Choice,Johan Söderqvist,Quisling's Speech,2016,0,Erik Poppe,Biography Drama History,GBKPL1801004
_0sca4vavd,/audioFolder9//film-score-emotion-survey/audioFolder9/The_Hunt_theme_Nikolaj_Egeland_sample_2,"this one feels harder to interpret, it feels positive starting, feels joyous then by that guitar note or chord it changes and feels sadder, still with a low energy, it feels sadder still by the third note then at the end of the excerpt it feels slightly positive again, less so because of the initial positive feeling.","[2.56533333333333, 8.928, 11.1461808382807, 13.6191321550376]","[0.72, -0.36, -0.525, 0.205]","[0.168, 0.178, -0.097, 0.238]",feels harder interpret feels positive starting feels joyous guitar note chord changes feels sadder low energy feels sadder note end excerpt feels slightly positive initial positive feeling,familiar-feeling-not-familiar,The Hunt,Nikolaj Egeland,The Hunt Theme,2012,0,Thomas Vinterberg,Drama,DKI4A1202001
_0sca4vavd,Antonio_Sanchez_Doors_and_Distance_Birdman_sample_2,"Where i placed the marker the feeling becomes slightly happier as its a funky sound, but it's quite subtle in terms of energy.",[7.90160053894562],[0.745],[0.188],placed marker feeling slightly happier funky sound quite subtle terms energy,familiar-feeling-not-familiar,Birdman,Antonio Sánchez,Doors and Distance,2014,0,Alejandro G. Iñárritu,Comedy Drama,US5941404961
_14q3qbw23,/audioFolder2//film-score-emotion-survey/audioFolder2/caravan_duke_ellingtonjuan_tizoljohn_wasson_whiplash_sample_1,"At the first marker the music changed to feel tired from the frantic rhythm beforehand, at the second marker the energy picked up again slightly but it felt frustrated or like a final lash out","[11.231233021542, 12.1937315665155]","[-0.002, -0.373]","[-0.373, -0.183]",marker music changed feel tired frantic rhythm second marker energy picked slightly felt frustrated like final lash,not-sure,Ex Machina,"Ben Salisbury, Geoff Barrow",Ava,2014,0,Alex Garland,Drama Music,US3M51428606
